25/02/2019 12:04
Time (s), Time step (s),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel
345687.200000,0.100000,0.000000,0.000000,0.000000,56.777778,260.000000,10.000000,10.000000,10.000000,10.000000
348959.207000,0.100000,0.000000,0.000000,0.000000,56.773611,260.000000,10.000000,10.000000,10.000000,10.000000
352231.200000,0.101000,0.000000,0.000000,0.000000,56.770833,270.000000,10.000000,10.000000,10.000000,10.000000
355503.609000,0.099000,0.000000,0.000000,0.000000,56.765278,270.000000,10.000000,10.000000,10.000000,10.000000
358776.000000,0.101000,0.000000,0.000000,0.000000,56.762500,280.000000,10.000000,10.000000,10.000000,10.000000
362048.700000,0.100000,0.000000,0.000000,0.000000,56.756944,280.000000,10.000000,10.000000,10.000000,10.000000
365321.600000,0.100000,0.000000,0.000000,0.000000,56.754167,290.000000,10.000000,10.000000,10.000000,10.000000
368594.700000,0.100000,0.000000,0.000000,0.000000,56.748611,290.000000,10.000000,10.000000,10.000000,10.000000
371868.000000,0.100000,0.000000,0.000000,0.000000,56.744444,300.000000,10.000000,10.000000,10.000000,10.000000
375141.500000,0.101000,0.000000,0.000000,0.000000,56.740278,300.000000,10.000000,10.000000,10.000000,10.000000
378415.200000,0.099000,0.000000,0.000000,0.000000,56.734722,310.000000,10.000000,10.000000,10.000000,10.000000
381689.100000,0.101000,0.000000,0.000000,0.000000,56.730556,310.000000,10.000000,10.000000,10.000000,10.000000
384963.200000,0.100000,0.000000,0.000000,0.000000,56.725000,320.000000,10.000000,10.000000,10.000000,10.000000
388237.500000,0.101000,0.000000,0.000000,0.000000,56.720833,320.000000,10.000000,10.000000,10.000000,10.000000
391512.000000,0.099000,0.000000,0.000000,0.000000,56.715278,330.000000,10.000000,10.000000,10.000000,10.000000
394786.700000,0.100000,0.000000,0.000000,0.000000,56.711111,330.000000,10.000000,10.000000,10.000000,10.000000
398061.722000,0.100000,0.000000,0.000000,0.000000,56.705556,340.000000,10.000000,10.000000,10.000000,10.000000
401336.700000,0.101000,0.000000,0.000000,0.000000,56.701389,340.000000,10.000000,10.000000,10.000000,10.000000
404612.000000,0.100000,0.000000,0.000000,0.000000,56.694444,350.000000,10.000000,10.000000,10.000000,10.000000
407887.500000,0.100000,0.000000,0.000000,0.000000,56.690278,350.000000,10.000000,10.000000,10.000000,10.000000
411163.200000,0.100000,0.000000,0.000000,0.000000,56.684722,360.000000,10.000000,10.000000,10.000000,10.000000
414439.100000,0.100000,0.000000,0.000000,0.000000,56.677778,360.000000,10.000000,10.000000,10.000000,10.000000
417715.328000,0.100000,0.000000,0.000000,0.000000,56.673611,370.000000,10.000000,10.000000,10.000000,10.000000
420991.500000,0.101000,0.000000,0.000000,0.000000,56.666667,370.000000,10.000000,10.000000,10.000000,10.000000
424268.000000,0.100000,0.000000,0.000000,0.000000,56.662500,380.000000,10.000000,10.000000,10.000000,10.000000
427544.700000,0.100000,0.000000,0.000000,0.000000,56.655556,380.000000,10.000000,10.000000,10.000000,10.000000
430821.600000,0.100000,0.000000,0.000000,0.000000,56.650000,390.000000,10.000000,10.000000,10.000000,10.000000
434098.700000,0.100000,0.000000,0.000000,0.000000,56.644444,390.000000,10.000000,10.000000,10.000000,10.000000
437376.000000,0.100000,0.000000,0.000000,0.000000,56.637500,400.000000,10.000000,10.000000,10.000000,10.000000
440653.500000,0.101000,0.000000,0.000000,0.000000,56.631944,400.000000,10.000000,10.000000,10.000000,10.000000
443931.336000,0.099000,0.000000,0.000000,0.000000,56.625000,410.000000,10.000000,10.000000,10.000000,10.000000
447209.100000,0.101000,0.000000,0.000000,0.000000,56.619444,410.000000,10.000000,10.000000,10.000000,10.000000
450487.200000,0.100000,0.000000,0.000000,0.000000,56.613889,420.000000,10.000000,10.000000,10.000000,10.000000
453765.639000,0.100000,0.000000,0.000000,0.000000,56.605556,420.000000,10.000000,10.000000,10.000000,10.000000
457044.000000,0.101000,0.000000,0.000000,0.000000,56.600000,430.000000,10.000000,10.000000,10.000000,10.000000
460322.700000,0.099000,0.000000,0.000000,0.000000,56.594444,430.000000,10.000000,10.000000,10.000000,10.000000
463601.742000,0.100000,0.000000,0.000000,0.000000,56.586111,440.000000,10.000000,10.000000,10.000000,10.000000
466880.700000,0.101000,0.000000,0.000000,0.000000,56.579167,440.000000,10.000000,10.000000,10.000000,10.000000
470160.000000,0.100000,0.000000,0.000000,0.000000,56.573611,450.000000,10.000000,10.000000,10.000000,10.000000
473439.500000,0.100000,0.000000,0.000000,0.000000,56.565278,450.000000,10.000000,10.000000,10.000000,10.000000
476719.200000,0.100000,0.000000,0.000000,0.000000,56.558333,460.000000,10.000000,10.000000,10.000000,10.000000
