Time (ms),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel,,Test Time,25/02/2019
230012190,0,0,0,-9.319444,10000,10,10,1000,1000,,,
231149984,0,0,0,-9.518056,10000,10,10,1000,1000,,,
232288034,0,0,0,-9.719444,10000,10,10,1000,1000,,,
233426340,0,0,0,-9.919444,10000,10,10,1000,1000,,,
234564902,0,0,0,-10.118056,10000,10,10,1000,1000,,,
235703720,0,0,0,-10.319444,10000,10,10,1000,1000,,,
236842794,0,0,0,-10.518056,10000,10,10,1000,1000,,,
237982338,0,0,0,-10.718056,10000,10,10,1000,1000,,,
239122140,0,0,0,-10.922222,10000,10,10,1000,1000,,,
240262416,0,0,0,-11.125,10000,10,10,1000,1000,,,
241402518,0,0,0,-11.329167,10000,10,10,1000,1000,,,
242543094,0,0,0,-11.527778,10000,10,10,1000,1000,,,
243683928,0,0,0,-11.729167,10000,10,10,1000,1000,,,
244825020,0,0,0,-11.930556,10000,10,10,1000,1000,,,
245966812,0,0,0,-12.136111,10000,10,10,1000,1000,,,
247108422,0,0,0,-12.3375,11000,10,10,1000,1000,,,
248250736,-0.000732,0,0,-12.555556,11000,10,10,1000,1000,,,
249392864,0.000732,0,0,-12.7875,12000,10,10,1000,1000,,,
250535475,0,0,0,-13.029167,12000,10,10,1000,1000,,,
251678346,0.000732,0,0,-13.269444,13000,10,10,1000,1000,,,
252821477,0,0,0,-13.538889,13000,10,10,1000,1000,,,
253965324,0,0,0,-13.8,14000,10,10,1000,1000,,,
255108977,0.000732,0,0,-14.091667,14000,10,10,1000,1000,,,
256252890,-0.002197,0,0,-14.370833,15000,10,10,1000,1000,,,
257397294,-0.001465,0,0,-14.680556,15000,10,10,1000,1000,,,
258541960,0.001465,0,0,-14.986111,16000,10,10,1000,1000,,,
259686888,-0.004395,0,0,-15.3125,16000,10,10,1000,1000,,,
260832078,-0.005859,0,0,-15.641667,17000,10,10,1000,1000,,,
261977765,-0.003662,0,0,-15.991667,17000,10,10,1000,1000,,,
263123716,0,0,0,-16.341667,18000,10,10,1000,1000,,,
264269694,0,0,0,-16.7125,18000,10,10,1000,1000,,,
265416172,0,0,0,-17.080556,19000,10,10,1000,1000,,,
266563153,0,0,0,-17.473611,19000,10,10,1000,1000,,,
267709920,0,0,0,-17.868056,20000,10,10,1000,1000,,,
268857672,0,0,0,-18.280556,20000,10,10,1000,1000,,,
270005450,0,0,0,-18.695833,20000,10,10,1000,1000,,,
271153251,0,0,0,-19.1125,20000,10,10,1000,1000,,,
272301560,0,0,0,-19.526389,20000,10,10,1000,1000,,,
273450135,0,0,0,-19.944444,20000,10,10,1000,1000,,,
274598976,0,0,0,-20.361111,20000,10,10,1000,1000,,,
275748083,0,0,0,-20.773611,20000,10,10,1000,1000,,,
276897456,0,0,0,-21.190278,20000,10,10,1000,1000,,,
278047095,0,0,0,-21.606944,20000,10,10,1000,1000,,,
279197000,0,0,0,-22.023611,20000,10,10,1000,1000,,,
280347422,0,0,0,-22.441667,20000,10,10,1000,1000,,,
281498112,0,0,0,-22.861111,20000,10,10,1000,1000,,,
282649070,0,0,0,-23.279167,20000,10,10,1000,1000,,,
283800550,0,0,0,-23.697222,20000,10,10,1000,1000,,,
284952045,0,0,0,-24.119444,20000,10,10,1000,1000,,,
286103808,0,0,0,-24.540278,20000,10,10,1000,1000,,,
287255839,0,0,0,-24.956944,20000,10,10,1000,1000,,,
288408654,0,0,0,-25.377778,20000,10,10,1000,1000,,,
289561223,0,0,0,-25.802778,20000,10,10,1000,1000,,,
290714320,0,0,0,-26.225,20000,10,10,1000,1000,,,
291867687,0,0,0,-26.643056,20000,10,10,1000,1000,,,
293021586,0,0,0,-27.065278,20000,10,10,1000,1000,,,
294175757,0,0,0,-27.493056,20000,10,10,1000,1000,,,
295330464,0,0,0,-27.919444,20000,10,10,1000,1000,,,
296484915,0,0,0,-28.343056,20000,10,10,1000,1000,,,
297639902,0,0,0,-28.768056,21000,10,10,1000,1000,,,
298795428,0,0,0,-29.2125,21000,10,10,1000,1000,,,
299950692,0,0,0,-29.6625,22000,10,10,1000,1000,,,
301106495,0,0,0,-30.129167,22000,10,10,1000,1000,,,
302263110,0,0,0,-30.598611,23000,10,10,1000,1000,,,
303419730,0,0,0,-31.090278,23000,10,10,1000,1000,,,
304576352,0,0,0,-31.586111,24000,10,10,1000,1000,,,
305733792,0,0,0,-32.097222,24000,10,10,1000,1000,,,
306890960,0,0,0,-32.611111,25000,10,10,1000,1000,,,
308048675,0,0,0,-33.147222,25000,10,10,1000,1000,,,
309206664,0,0,0,-33.680556,26000,10,10,1000,1000,,,
310365481,0,0,0,-34.243056,26000,10,10,1000,1000,,,
311524298,0,0,0,-34.802778,27000,10,10,1000,1000,,,
312683112,0,0,0,-35.386111,27000,10,10,1000,1000,,,
313842480,0,0,0,-35.966667,28000,10,10,1000,1000,,,
315002124,0,0,0,-36.572222,28000,10,10,1000,1000,,,
316162044,0,0,0,-37.173611,29000,10,10,1000,1000,,,
317322523,0,0,0,-37.798611,29000,10,10,1000,1000,,,
318482996,0,0,0,-38.427778,30000,10,10,1000,1000,,,
319644315,0,0,0,-39.079167,30000,10,10,1000,1000,,,
320805342,0,0,0,-39.731944,31000,10,10,1000,1000,,,
321966645,0,0,0,-40.402778,31000,10,10,1000,1000,,,
323128512,0,0,0,-41.075,32000,10,10,1000,1000,,,
324290946,0,0,0,-41.769444,32000,10,10,1000,1000,,,
325453370,0,0,0,-42.468056,33000,10,10,1000,1000,,,
326616072,0,0,0,-43.1875,33000,10,10,1000,1000,,,
327779344,0,0,0,-43.906944,34000,10,10,1000,1000,,,
328943189,0,0,0,-44.65,34000,10,10,1000,1000,,,
330106728,0,0,0,-45.397222,35000,10,10,1000,1000,,,
331271135,0,0,0,-46.1625,35000,10,10,1000,1000,,,
332435232,0,0,0,-46.927778,36000,10,10,1000,1000,,,
333599904,0,0,0,-47.715278,36000,10,10,1000,1000,,,
334764856,0,0,0,-48.502778,37000,10,10,1000,1000,,,
335930387,0,0,0,-49.315278,37000,10,10,1000,1000,,,
337096500,0,0,0,-50.130556,38000,10,10,1000,1000,,,
338262295,0,0,0,-50.968056,38000,10,10,1000,1000,,,
339428370,0,0,0,-51.802778,39000,10,10,1000,1000,,,
340595028,0,0,0,-52.658333,39000,10,10,1000,1000,,,
341762272,0,0,0,-53.518056,40000,10,10,1000,1000,,,
342929495,0,0,0,-54.404167,40000,10,10,1000,1000,,,
344097306,0,0,0,-55.290278,40000,10,10,1000,1000,,,
345265401,0,0,0,-56.179167,40000,10,10,1000,1000,,,
346433780,0,0,0,-57.069444,40000,10,10,1000,1000,,,
347602443,0,0,0,-57.955556,40000,10,10,1000,1000,,,
348771390,0,0,0,-58.844444,40000,10,10,1000,1000,,,
349940932,0,0,0,-59.729167,40000,10,10,1000,1000,,,
351110448,0,0,0,-60.622222,40000,10,10,1000,1000,,,
352280561,0,0,0,-61.515278,40000,10,10,1000,1000,,,
353450960,0,0,0,-62.409722,40000,10,10,1000,1000,,,
354621960,0,0,0,-63.304167,40000,10,10,1000,1000,,,
355792616,0,0,0,-64.2,40000,10,10,1000,1000,,,
356963873,0,0,0,-65.0875,40000,10,10,1000,1000,,,
358135416,0,0,0,-65.9875,40000,10,10,1000,1000,,,
359307564,0,0,0,-66.879167,40000,10,10,1000,1000,,,
360479680,0,0,0,-67.779167,40000,10,10,1000,1000,,,
361652724,0,0,0,-68.680556,40000,10,10,1000,1000,,,
362825414,0,0,0,-69.581944,40000,10,10,1000,1000,,,
363998390,0,0,0,-70.477778,40000,10,10,1000,1000,,,
365172300,0,0,0,-71.372222,40000,10,10,1000,1000,,,
366345850,0,0,0,-72.277778,40000,10,10,1000,1000,,,
367520012,0,0,0,-73.172222,40000,10,10,1000,1000,,,
368694462,0,0,0,-74.075,40000,10,10,1000,1000,,,
369869200,0,0,0,-74.972222,40000,10,10,1000,1000,,,
371044226,0,0,0,-75.875,40000,10,10,1000,1000,,,
