Time (ms),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel
443201148,0.000732,0,0,-60.311111,10000,10,10,1000,1000
443982016,0.000732,0,0,-60.598611,10000,10,10,1000,1000
444763254,0.000732,0,0,-60.884722,10000,10,10,1000,1000
445545541,0.000732,0,0,-61.177778,10000,10,10,1000,1000
446328880,0.000732,0,0,-61.470833,10000,10,10,1000,1000
447111912,0.000732,0,0,-61.763889,10000,10,10,1000,1000
447895316,0.000732,0,0,-62.056944,10000,10,10,1000,1000
448679092,0.000732,0,0,-62.348611,10000,10,10,1000,1000
449463924,0.000732,0,0,-62.6375,10000,10,10,1000,1000
450248445,0.000732,0,0,-62.925,10000,10,10,1000,1000
451034024,0.000732,0,0,-63.215278,10000,10,10,1000,1000
451819977,0.000732,0,0,-63.508333,10000,10,10,1000,1000
452606304,0.000732,0,0,-63.805556,10000,10,10,1000,1000
453393005,0.000732,0,0,-64.098611,10000,10,10,1000,1000
454180080,0.000732,0,0,-64.3875,10000,10,10,1000,1000
454967529,0.000732,0,0,-64.679167,10000,10,10,1000,1000
455756044,0.000732,0,0,-64.972222,10000,10,10,1000,1000
456544242,0.000732,0,0,-65.269444,10000,10,10,1000,1000
457333508,0.000732,0,0,-65.558333,10000,10,10,1000,1000
458123150,0.000732,0,0,-65.856944,10000,10,10,1000,1000
458913168,0.000732,0,0,-66.147222,10000,10,10,1000,1000
459704259,0.000732,0,0,-66.441667,10000,10,10,1000,1000
460495030,0.000732,0,0,-66.736111,10000,10,10,1000,1000
461286876,0.000732,0,0,-67.027778,10000,10,10,1000,1000
462078400,0.000732,0,0,-67.329167,10000,10,10,1000,1000
462871001,0.000732,0,0,-67.618056,10000,10,10,1000,1000
463663980,0.000732,0,0,-67.918056,10000,10,10,1000,1000
464456634,0.000732,0,0,-68.209722,10000,10,10,1000,1000
465250368,0.000732,0,0,-68.506944,10000,10,10,1000,1000
466044480,0.000732,0,0,-68.797222,10000,10,10,1000,1000
466838970,0.000732,0,0,-69.095833,10000,10,10,1000,1000
467634545,0.000732,0,0,-69.393056,10000,10,10,1000,1000
468430500,0.000732,0,0,-69.686111,10000,10,10,1000,1000
469226126,0.000732,0,0,-69.986111,10000,10,10,1000,1000
470022840,0.000732,0,0,-70.277778,10000,10,10,1000,1000
470819934,0.000732,0,0,-70.577778,10000,10,10,1000,1000
471616696,0.000732,0,0,-70.875,10000,10,10,1000,1000
472414549,0.000732,0,0,-71.169444,10000,10,10,1000,1000
473213496,0.000732,0,0,-71.466667,10000,10,10,1000,1000
474012110,0.000732,0,0,-71.768056,10000,10,10,1000,1000
474811104,0.000732,0,0,-72.065278,10000,10,10,1000,1000
475611195,0.000732,0,0,-72.359722,10000,10,10,1000,1000
476411668,0.000732,0,0,-72.655556,10000,10,10,1000,1000
477212523,0.000732,0,0,-72.955556,10000,10,10,1000,1000
478013760,0.000732,0,0,-73.256944,10000,10,10,1000,1000
478816100,0.000732,0,0,-73.558333,10000,10,10,1000,1000
479618824,0.000732,0,0,-73.856944,11000,10,10,1000,1000
480421932,0,0,0,-74.188889,11000,10,10,1000,1000
481226148,0.000732,0,0,-74.516667,12000,10,10,1000,1000
482029300,0.000732,0,0,-74.879167,12000,10,10,1000,1000
482833560,0.000732,0,0,-75.2375,13000,10,10,1000,1000
483638204,0.000732,0,0,-75.627778,13000,10,10,1000,1000
484443960,0.001465,0,0,-76.022222,14000,10,10,1000,1000
485250102,0.000732,0,0,-76.440278,14000,10,10,1000,1000
486056630,0,0,0,-76.859722,15000,10,10,1000,1000
486863544,-0.000732,0,0,-77.313889,15000,10,10,1000,1000
487670844,-0.003662,0,0,-77.769444,16000,10,10,1000,1000
488479263,-0.001465,0,0,-78.251389,16000,10,10,1000,1000
489287336,0.000732,0,0,-78.731944,17000,10,10,1000,1000
490096530,0.000732,0,0,-79.245833,17000,10,10,1000,1000
490905376,0,0,0,-79.7625,18000,10,10,1000,1000
491715345,0.000732,0,0,-80.304167,18000,10,10,1000,1000
492524964,0.000732,0,0,-80.848611,19000,10,10,1000,1000
493335708,0.000732,0,0,-81.425,19000,10,10,1000,1000
494146840,0.000732,0,0,-82.002778,20000,10,10,1000,1000
494958360,0.000732,0,0,-82.609722,20000,10,10,1000,1000
495771010,0.000732,0,0,-83.2125,20000,10,10,1000,1000
496583307,0.000732,0,0,-83.823611,20000,10,10,1000,1000
497396736,0.000732,0,0,-84.431944,20000,10,10,1000,1000
498210555,0.000732,0,0,-85.040278,20000,10,10,1000,1000
499024764,0.000732,0,0,-85.652778,20000,10,10,1000,1000
499839363,0.000732,0,0,-86.263889,20000,10,10,1000,1000
500655100,0.000732,0,0,-86.870833,20000,10,10,1000,1000
501470480,0.000732,0,0,-87.484722,20000,10,10,1000,1000
