25/02/2019 12:00,,,,,,,,,,,,
Time (s),Time step (s),X dist,X duty,X freq,Y dist,Y velocity,Y acc,Y freq, X accel, X decel, Y accel, Y decel
657410.7,0.101,0,0,0,56.004167,554.496703,-56.96333693,1270,10,10,100,0
660701.6,0.099,0,0,0,55.984722,565.5022424,111.1670652,1370,10,10,100,0
663992.7,0.101,0,0,0,55.9625,554.0841584,-113.0503367,1370,10,10,100,0
667284,0.099,0,0,0,55.941667,565.0673434,110.9412628,1470,10,10,100,0
670575.5,0.101,0,0,0,55.919444,553.6578614,-112.9651688,1470,10,10,100,0
673867.406,0.1,0,0,0,55.897222,558.97222,53.14358614,1570,10,10,100,0
677159.1,0.101,0,0,0,55.872222,553.1903168,-57.24656602,1570,10,10,100,0
680451.2,0.099,0,0,0,55.848611,564.1273838,110.4754243,1670,10,10,100,0
683743.5,0.101,0,0,0,55.820833,552.6815149,-113.3254355,1670,10,10,100,0
687036.21,0.099,0,0,0,55.795833,563.5942727,110.2298775,1770,10,10,100,0
690328.911,0.101,0,0,0,55.768056,552.1589703,-113.2208161,1770,10,10,100,0
693621.812,0.1,0,0,0,55.741667,557.41667,52.57699703,1870,10,10,100,0
696914.7,0.101,0,0,0,55.7125,551.6089109,-57.50256543,1870,10,10,100,0
700208,0.099,0,0,0,55.681944,562.4438788,109.4441202,1970,10,10,100,0
703501.5,0.1,0,0,0,55.651389,556.51389,-59.29988788,1970,10,10,100,100
706795.2,0.101,0,0,0,55.620833,550.7013168,-57.55022939,2070,10,10,100,100
710089.1,0.099,0,0,0,55.590278,561.5179596,109.2590178,2070,10,10,100,100
713383.2,0.101,0,0,0,55.556944,550.0687525,-113.3584863,2170,10,10,100,100
716677.5,0.1,0,0,0,55.522222,555.22222,51.53467525,2170,10,10,100,100
719972,0.1,0,0,0,55.488889,554.88889,-3.3333,2270,10,10,100,100
723266.921,0.1,0,0,0,55.452778,554.52778,-3.6111,2270,10,10,100,100
726561.6,0.101,0,0,0,55.418056,548.6936238,-57.76392314,2370,10,10,100,100
729856.7,0.1,0,0,0,55.380556,553.80556,51.11936238,2370,10,10,100,100
733152,0.099,0,0,0,55.343056,559.0207677,52.67886542,2470,10,10,100,100
736447.5,0.101,0,0,0,55.304167,547.5660099,-113.4134433,2470,10,10,100,100
739743.2,0.1,0,0,0,55.266667,552.66667,51.00660099,2570,10,10,100,100
743039.1,0.1,0,0,0,55.225,552.25,-4.1667,2570,10,10,100,100
746335.2,0.101,0,0,0,55.184722,546.3833861,-58.08528576,2670,10,10,100,100
749631.5,0.099,0,0,0,55.143056,557.0005657,107.2442376,2670,10,10,100,100
752928,0.101,0,0,0,55.102778,545.5720594,-113.1535272,2770,10,10,100,100
756224.7,0.099,0,0,0,55.059722,556.1588081,106.9368553,2770,10,10,100,100
759521.6,0.101,0,0,0,55.013889,544.6919703,-113.5330474,2870,10,10,100,100
762818.7,0.1,0,0,0,54.970833,549.70833,50.16359703,2870,10,10,100,100
766116.234,0.1,0,0,0,54.925,549.25,-4.5833,2970,10,10,100,100
769413.5,0.101,0,0,0,54.879167,543.3580891,-58.3357514,2970,10,10,100,100
772711.436,0.099,0,0,0,54.831944,553.8580202,106.05991,3070,10,10,100,100
776009.1,0.101,0,0,0,54.783333,542.4092376,-113.354283,3070,10,10,100,100
779307.2,0.1,0,0,0,54.734722,547.34722,49.37982376,3170,10,10,100,100
782605.5,0.1,0,0,0,54.686111,546.86111,-4.8611,3170,10,10,100,100
785904,0.1,0,0,0,54.6375,546.375,-4.8611,3270,10,10,100,100
789202.7,0.1,0,0,0,54.584722,545.84722,-5.2778,3270,10,10,100,100
792501.6,0.101,0,0,0,54.533333,539.9339901,-58.5468307,3370,10,10,100,100
795800.7,0.099,0,0,0,54.481944,550.3226667,104.9361269,3370,10,10,100,100
799100,0.101,0,0,0,54.429167,538.9026436,-113.0695357,3470,10,10,100,100
802399.5,0.1,0,0,0,54.373611,543.73611,48.33466436,3470,10,10,100,100
805699.2,0.1,0,0,0,54.320833,543.20833,-5.2778,3570,10,10,100,100
808999.1,0.1,0,0,0,54.263889,542.63889,-5.6944,3570,10,10,100,100
812299.448,0.101,0,0,0,54.208333,536.7161683,-58.64080874,3670,10,10,100,100
815599.5,0.1,0,0,0,54.151389,541.51389,47.97721683,3670,10,10,100,100
818900,0.1,0,0,0,54.093056,540.93056,-5.8333,3770,10,10,100,100
822200.951,0.099,0,0,0,54.034722,545.8052727,49.2395225,3770,10,10,100,100
825501.6,0.101,0,0,0,53.975,534.4059406,-112.8646746,3870,10,10,100,100
828802.7,0.1,0,0,0,53.915278,539.15278,47.46839406,3870,10,10,100,100
832104.254,0.101,0,0,0,53.854167,533.2095743,-58.84362121,3970,10,10,100,100
835405.5,0.1,0,0,0,53.791667,537.91667,47.07095743,3970,10,10,100,100
838707.456,0.099,0,0,0,53.731944,542.7469091,48.79029385,4070,10,10,100,100
842009.1,0.101,0,0,0,53.666667,531.3531386,-112.8096087,4070,10,10,100,100
845311.2,0.1,0,0,0,53.602778,536.02778,46.74641386,4170,10,10,100,100
848613.5,0.1,0,0,0,53.538889,535.38889,-6.3889,4170,10,10,100,100
851916,0.1,0,0,0,53.472222,534.72222,-6.6667,4270,10,10,100,100
855218.961,0.1,0,0,0,53.406944,534.06944,-6.5278,4270,10,10,100,100
858521.6,0.101,0,0,0,53.340278,528.1215644,-58.88985786,4370,10,10,100,100
861824.963,0.1,0,0,0,53.272222,532.72222,46.00655644,4370,10,10,100,100
865128,0.1,0,0,0,53.201389,532.01389,-7.0833,4470,10,10,100,100
868431.765,0.1,0,0,0,53.131944,531.31944,-6.9445,4470,10,10,100,100
871735.466,0.1,0,0,0,53.061111,530.61111,-7.0833,4570,10,10,100,100
875039.1,0.101,0,0,0,52.991667,524.6699703,-58.82316538,4570,10,10,100,100
878343.2,0.099,0,0,0,52.920833,534.5538687,99.83735747,4670,10,10,100,100
881647.769,0.1,0,0,0,52.845833,528.45833,-60.95538687,4670,10,10,100,100
884952,0.101,0,0,0,52.772222,522.4972475,-59.02061857,4770,10,10,100,100
888256.7,0.1,0,0,0,52.698611,526.98611,44.88862475,4770,10,10,100,100
891561.6,0.1,0,0,0,52.623611,526.23611,-7.5,4870,10,10,100,100
894866.7,0.1,0,0,0,52.548611,525.48611,-7.5,4870,10,10,100,100
898172,0.1,0,0,0,52.472222,524.72222,-7.6389,4970,10,10,100,100
901477.5,0.101,0,0,0,52.391667,518.7293762,-59.33508676,4970,10,10,100,100
904783.2,0.099,0,0,0,52.316667,528.4511818,98.20005637,5070,10,10,100,100
908089.1,0.101,0,0,0,52.236111,517.1892178,-111.504594,5070,10,10,100,100
911395.2,0.1,0,0,0,52.158333,521.58333,43.94112178,5170,10,10,100,100
914701.5,0.1,0,0,0,52.076389,520.76389,-8.1944,5170,10,10,100,100
918008.28,0.1,0,0,0,51.994444,519.94444,-8.1945,5270,10,10,100,100
921314.7,0.101,0,0,0,51.911111,513.971396,-59.13904911,5270,10,10,100,100
924621.882,0.099,0,0,0,51.830556,523.5409697,96.66236018,5370,10,10,100,100
927928.7,0.101,0,0,0,51.747222,512.3487327,-110.814228,5370,10,10,100,100
931236,0.1,0,0,0,51.661111,516.61111,42.62377327,5470,10,10,100,100
934543.5,0.1,0,0,0,51.577778,515.77778,-8.3333,5470,10,10,100,100
937851.2,0.1,0,0,0,51.491667,514.91667,-8.6111,5570,10,10,100,100
941159.387,0.101,0,0,0,51.402778,508.938396,-59.19083129,5570,10,10,100,100
944467.2,0.1,0,0,0,51.318056,513.18056,42.4216396,5670,10,10,100,100
947775.789,0.099,0,0,0,51.230556,517.4803636,43.43235996,5670,10,10,100,100
951084,0.101,0,0,0,51.140278,506.3393861,-110.3067079,5770,10,10,100,100
954392.7,0.1,0,0,0,51.05,510.5,41.60613861,5770,10,10,100,100
957701.6,0.1,0,0,0,50.959722,509.59722,-9.0278,5870,10,10,100,100
961010.7,0.1,0,0,0,50.866667,508.66667,-9.3055,5870,10,10,100,100
964320,0.1,0,0,0,50.775,507.75,-9.1667,5970,10,10,100,100
967629.5,0.101,0,0,0,50.679167,501.7739307,-59.16900304,5970,10,10,100,100
970939.2,0.099,0,0,0,50.5875,510.9848485,93.03957365,6070,10,10,100,100
974249.1,0.101,0,0,0,50.491667,499.917495,-109.5777568,6070,10,10,100,100
977559.2,0.1,0,0,0,50.398611,503.98611,40.6861495,6170,10,10,100,100
980869.5,0.1,0,0,0,50.3,503,-9.8611,6170,10,10,100,100
984180,0.101,0,0,0,50.202778,497.0572079,-58.83952554,6270,10,10,100,100
987490.7,0.099,0,0,0,50.106944,506.1307475,91.65191469,6270,10,10,100,100
990801.6,0.1,0,0,0,50.009722,500.09722,-60.33527475,6370,10,10,100,100
994112.7,0.101,0,0,0,49.908333,494.1419109,-58.96345652,6370,10,10,100,100
997424,0.1,0,0,0,49.809722,498.09722,39.55309109,6470,10,10,100,100
